class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1.0,0.0,0.0030210599999999999,0.0030210599999999999,0.0060421199999999998,0.0060421199999999998,0.0090631800000000005,0.0060421199999999998,0.0090631800000000005,0.0,0.0060421199999999998,0.0060421199999999998,0.018126369999999999,0.0060421199999999998,0.01208425,0.01208425,0.018126369999999999,0.12660339000000001,0.16330895000000001,0.14712194000000001,0.15477593000000001,0.12548481,0.16186250999999999
1.0,0.016400339999999999,0.016400339999999999,0.0046858100000000003,0.0023429100000000001,0.016400339999999999,0.0046858100000000003,0.0093716200000000006,0.0023429100000000001,0.0046858100000000003,0.0093716200000000006,0.0,0.0,0.0023429100000000001,0.0,0.0023429100000000001,0.0023429100000000001,0.16786656999999999,0.16353513,0.14624296000000001,0.14059493000000001,0.13483397999999999,0.15321021000000001
1.0,0.02038032,0.0090579200000000006,0.0090579200000000006,0.0022644800000000001,0.015851359999999998,0.0022644800000000001,0.0067934400000000004,0.0,0.0,0.011322399999999998,0.0,0.0045289600000000003,0.0045289600000000003,0.0022644800000000001,0.0,0.0022644800000000001,0.14029011999999999,0.18949136999999999,0.15527947,0.11901080999999999,0.14262599000000001,0.16272304000000001
1.0,0.0087011699999999994,0.0021752899999999999,0.0087011699999999994,0.0065258800000000004,0.0043505799999999997,0.0043505799999999997,0.0021752899999999999,0.0065258800000000004,0.0043505799999999997,0.0043505799999999997,0.0021752899999999999,0.0065258800000000004,0.0087011699999999994,0.0043505799999999997,0.0043505799999999997,0.0087011699999999994,0.14559273,0.16566901000000001,0.15594363,0.13717778,0.14604869000000001,0.16255646000000001
1.0,0.017384380000000001,0.00965799,0.0038631999999999998,0.0038631999999999998,0.00965799,0.01158959,0.0038631999999999998,0.0019315999999999999,0.0,0.0038631999999999998,0.0,0.0019315999999999999,0.0077263899999999996,0.0,0.0,0.0019315999999999999,0.14086914,0.18259677999999999,0.14267060000000001,0.11927818,0.17699501000000001,0.16032635000000001
1.0,0.0024397500000000001,0.0024397500000000001,0.0073192600000000002,0.0048795000000000002,0.012198759999999999,0.012198759999999999,0.0073192600000000002,0.0073192600000000002,0.0,0.01463851,0.0024397500000000001,0.0024397500000000001,0.0024397500000000001,0.012198759999999999,0.0024397500000000001,0.0048795000000000002,0.11817109000000001,0.17412759,0.13927793999999999,0.10589900000000001,0.16405064999999999,0.20088364
1.0,0.0065772499999999998,0.010962080000000001,0.00219242,0.0043848300000000002,0.0087696700000000002,0.0087696700000000002,0.0065772499999999998,0.0087696700000000002,0.0,0.0065772499999999998,0.0,0.0043848300000000002,0.0065772499999999998,0.0065772499999999998,0.00219242,0.0043848300000000002,0.1475128,0.11668186,0.14825256000000001,0.16848546,0.15229746,0.17907320000000002
1.0,0.0087295199999999993,0.0087295199999999993,0.01163935,0.0029098399999999999,0.01163935,0.0,0.0087295199999999993,0.0,0.0087295199999999993,0.01163935,0.029098389999999998,0.0058196799999999998,0.0029098399999999999,0.0,0.0058196799999999998,0.0,0.16700334,0.13931231999999999,0.15036558,0.15610963999999999,0.14042568,0.13038989999999998
1.0,0.0027068499999999998,0.0054137000000000005,0.0054137000000000005,0.0027068499999999998,0.0054137000000000005,0.0054137000000000005,0.0081205600000000006,0.0,0.0,0.0081205600000000006,0.013534259999999999,0.018947970000000001,0.0054137000000000005,0.0,0.01624111,0.010827410000000001,0.13280717,0.15850020000000001,0.14488530999999999,0.15594889000000001,0.15315139,0.14643294000000001
1.0,0.013309140000000001,0.0076052200000000002,0.0038026100000000001,0.0038026100000000001,0.0076052200000000002,0.0057039200000000003,0.00190131,0.00190131,0.0,0.00190131,0.0038026100000000001,0.0057039200000000003,0.0057039200000000003,0.0038026100000000001,0.00190131,0.0076052200000000002,0.097065380000000007,0.16661744000000001,0.17188001,0.17351844,0.16451566000000001,0.15035086
